municipio,apropiaciondolar,consejocomunal,ejecucion,uribista,pctopo,priorizado,poblacioncienmil,nbi
m120,2.009392977,0,0,1,29.96226311,0,0.1670099944,40.70999908
m121,6.611296654,0,0,,36.15740967,0,0.1427620053,59.09000015
m122,23.38578796,0,0,0,12.05240154,0,0.3289459944,60.06999969
m123,33.49090958,1,0,0,19.96987152,0,12.85961723,17.69000053
m124,0,0,0,0,28.68214226,1,0.5154799819,26.52000046
m125,0,0,0,0,51.04128265,0,0.2482299954,62.86000061
m126,0,0,0,1,13.97786427,1,0.1518875062,74.22000122
m127,0,0,0,1,49.19633102,0,0.2407249957,39.38000107
m128,0,0,0,1,29.39862061,1,0.1516325027,30.77000046
m129,0,0,0,,22.24820518,0,0.2614299953,50.52000046
m130,0,0,0,1,28.49189568,1,1.002322435,31.71999931
m131,0,0,0,1,9.730781555,1,0.1475075036,57.59999847
m132,31.60689735,0,0,,41.02119064,0,0.2688875198,37.74000168
m133,0,0,0,1,20.30838203,1,0.07075999677,54.18000031
m134,0,0,0,,22.7616806,0,0.1393074989,35.02999878
m135,31.60689735,0,0,1,61.36009216,0,0.1956399977,50.27999878
m136,0,0,0,0,58.2363205,0,0.3785974979,24.73999977
m137,0,0,0,1,35.83455276,1,0.2583200037,52.33000183
m138,31.60689735,0,0,,31.08159065,0,0.2257799953,39.93999863
m139,0,0,0,0,38.91376495,0,0.9444599748,38.34999847
m140,0,0,1,1,35.17870331,1,0.1677899957,60.13999939
m141,31.60689735,0,0,1,43.76549149,0,0.2752549946,33.88000107
m142,0,0,0,1,51.34158707,0,3.615659952,24.04999924
m143,31.60689735,0,0,1,51.75518417,0,0.1085875034,55.40000153
m144,0,0,0,0,55.86554337,0,0.1360474974,35.86000061
m145,0,0,0,0,47.14598465,1,0.09357750416,43.31000137
m146,132.6428986,0,0,0,34.55348587,1,69.26835632,9.159999847
m147,19.13306427,1,0,1,35.23464203,0,9.714956284,26.15999985
m148,0.7624937296,0,0,0,69.75210571,1,0.2478599995,80.80999756
m149,0,0,0,,49.90267944,0,0.1311119944,68.83999634
m150,0,0,1,,14.749403,0,0.1103359982,59.11999893
m151,15.87253094,1,0,0,48.38194656,0,0.6104419827,58.75
m152,0,0,0,,13.01115322,0,0.01760799997,67.80000305
m153,0,0,0,,91.33004761,0,0.1762160063,74.54000092
m154,33.98270798,0,0,0,0.4869605303,0,0.2245620042,71.98999786
m155,0,0,0,,30.99099159,0,0.07464199513,62.18000031
m156,7.276366234,0,0,,65.23576355,0,0.113474004,60.88000107
m157,0,0,0,,28.05573082,0,0.1209959984,72.05999756
m158,45.64425278,0,0,1,16.6927681,0,0.7786620259,93.45999908
m159,0,0,0,,66.46961975,0,0.09310200065,59.11000061
m160,0,0,0,,59.59702682,0,0.1151880026,72.86000061
m161,0.8439450264,0,0,,58.0857048,0,0.1271300018,78.34999847
m162,7.276366234,0,0,0,35.94158173,0,1.578541994,53.61999893
m163,0,0,0,0,59.85251617,1,0.2440039963,53.56000137
m164,8.120311737,0,0,0,33.15380859,1,0.09054199606,76.02999878
m165,0,0,0,1,42.94688797,0,0.5850099921,59.97999954
m166,0,0,0,,86.59164429,0,0.1228059977,68.18000031
m167,8.120311737,1,0,1,26.53385353,1,0.5609679818,49.25999832
m168,0,0,0,,27.27659607,0,0.2231699973,63.79999924
m169,0,0,0,0,93.45159149,0,0.2948620021,81.05000305
m170,0,0,0,0,99.41931915,0,0.0921939984,66.73000336
m171,0,0,0,0,43.95853043,0,0.3019379973,79
m172,0,0,0,,54.49457932,1,0.06547000259,45.95999908
m173,2.110650539,0,0,,38.21611786,0,0.1722719967,55.04000092
m174,8.120311737,0,0,1,9.301934242,1,0.1033099964,69.80000305
m175,33.98270798,0,0,,39.19484711,0,0.2705360055,94.31999969
m176,0,0,0,0,18.84213638,0,0.1091239974,90.43000031
m177,33.98270798,0,0,0,28.27703285,0,0.440019995,67.87000275
m178,0,0,0,,44.02394104,0,0.211740002,69.61000061
m179,0,0,1,,17.13228607,1,0.2754479945,66.08000183
m180,0,0,0,0,37.7919426,0,0.1738660038,48.33000183
m181,0,0,1,1,51.38441849,1,0.1377499998,91.68000031
m182,0,0,0,1,22.11412621,0,0.3559620082,55.43000031
m183,0,0,1,1,37.83018875,1,0.2701019943,62
m184,0,0,0,,63.69871521,0,0.0811920017,53.38000107
m185,7.276366234,0,0,1,70.03878021,0,0.1865379959,63.47999954
m186,0,0,0,,78.88299561,0,0.220569998,86.48000336
m187,15.87253094,0,0,1,48.17198944,0,0.6075800061,49.41999817
m188,0,0,0,1,31.05830002,0,0.1307020038,62.52999878
m189,2.110650539,0,0,0,60.62992096,1,0.1621779948,86.08000183
m190,11.65366364,0,0,1,51.69491577,0,0.119847998,58.36000061
m191,51.30059052,1,0,1,41.42087936,0,1.305986047,12.03999996
m192,0,0,0,0,65.21276855,0,0.04425200075,37.31999969
m193,0.2669297755,0,0,1,7.369668007,1,0.1980500072,42.75999832
m194,11.95077324,0,0,0,6.703662872,0,0.05008599907,33.25
m195,38.48532486,0,0,0,9.424657822,1,0.1548819989,31.10000038
m196,0,0,0,0,34.44444656,0,0.01924599893,36.11999893
m197,0,0,0,0,11.2643671,0,0.02792800032,64.05999756
m198,0,0,0,0,4.094256401,1,0.1522600055,52.88000107
m199,6.176483154,0,0,1,83.24433899,1,0.05643799901,49.90999985
m200,0,0,0,1,6.113207817,0,0.02841600031,36.15000153
m201,0,0,0,1,52.46874619,1,0.0562880002,45.04000092
m202,0,0,0,1,11.9496851,0,0.006287999917,57.97000122
m203,0,0,0,,72.86788177,0,0.05509399995,39.77999878
m204,0,0,0,1,29.40528679,0,0.041269999,44.04999924
m205,33.20091629,0,0,1,2.883895159,0,0.0503339991,26.02000046
m206,0,0,0,1,19.64472389,0,0.03573799878,35.79000092
m207,18.06420135,0,0,1,31.72131157,0,0.5337520242,17.68000031
m208,0,0,0,0,36.38025665,0,0.06289599836,69.98000336
m209,0.1535018533,0,0,1,8.025579453,0,0.07466199994,47.31000137
m210,0,0,0,1,34.13721466,0,0.04850199819,49.02999878
m211,0,0,0,1,21.34770966,0,0.05680200085,29.80999947
m212,0,0,0,1,60.37261963,1,0.1158460006,38.40000153
m213,0,0,0,1,55.13643646,0,0.05163399875,47.02999878
m214,0,1,0,1,4.058323383,0,0.02858399972,27.95000076
m215,0,0,0,1,12.70129967,0,0.03830200061,79.65000153
m216,33.39860535,0,0,1,67.04663086,0,0.06605400145,58.02000046
m217,6.176483154,0,0,1,3.490566015,0,0.05090600252,42.90999985
m218,0.2669297755,0,0,1,55.70422363,1,0.01861799881,46.18999863
m219,0,0,0,0,74.48805237,0,0.0833619982,49.11999893
m220,0,0,0,1,40.33036804,0,0.0388019979,34.15999985
m221,36.70245743,0,0,1,12.13892841,0,1.171658039,8.68999958
m222,0,0,0,1,49.81729507,0,0.06658200175,54.66999817
m223,0,0,0,1,0.8488964438,0,0.03698199987,51.34999847
m224,0,0,0,1,64.55964661,1,0.06560599804,27.77000046
m225,0,0,0,1,3.275742769,0,0.05232999846,46.13999939
m226,0,0,0,1,64.64912415,0,0.03458600119,60.34999847
m227,0,0,0,1,12.59830475,0,0.06375200301,44.08000183
m228,0.3939986229,0,0,1,43.18315887,1,0.1731700003,23.28000069
m229,0,0,0,1,14.03508759,0,0.02777799964,62.68999863
m230,6.06184721,0,0,0,87.788414,0,0.1039940044,25.95999908
m231,0,0,0,,16.13573456,0,0.1389520019,48.08000183
m232,0.2166874558,0,0,,10.52631569,0,0.09932400286,68.54000092
m233,0,0,0,1,42.18120956,1,0.01803399995,22.93000031
m234,0,0,0,0,82.25263214,1,0.07023400068,41.83000183
m235,0.2163213044,0,0,1,8.837208748,1,0.04784400016,25.29999924
m236,0,0,0,0,90.35713959,0,0.0134800002,44.74000168
m237,0,0,0,1,3.464755058,1,0.06698200107,49.63000107
m238,6.176483154,0,0,,55.31447983,1,0.1025279984,25.87000084
m239,6.06184721,0,0,1,25.82699013,0,0.04234600067,35.22999954
m240,0,0,0,1,68.09983063,1,0.08671999723,47.63000107
m241,7.752477169,0,0,1,13.77584362,0,0.08963999897,25.35000038
m242,0,0,0,1,13.62275505,0,0.06221999973,47.06000137
m243,0.3086344898,0,0,1,12.71028042,0,0.04633400217,30.13999939
m244,11.95077324,0,0,0,19.93920898,1,0.2356300056,30.84000015
m245,11.95077324,0,0,0,60.45655441,0,0.04565799981,50.25
m246,0,0,0,1,38.41343689,0,0.1545560062,45.63000107
m247,0,0,0,1,21.05220222,0,0.1243819967,13.59000015
m248,0,0,0,0,70.20295715,0,0.05515599996,28.64999962
m249,33.20091629,0,0,1,27.8021965,0,0.02584799938,51.63999939
m250,11.37003899,0,0,1,1.91732645,1,0.09930999577,48.84999847
m251,0,0,0,1,9.408100128,0,0.04679600149,37
m252,6.176483154,0,0,1,7.96039629,0,0.04055600241,38.15000153
m253,33.49103928,1,0,0,16.15129089,0,0.2799960077,18.06999969
m254,3.235055685,0,0,0,85.5111084,0,0.05098399892,41.63000107
m255,0.2166874558,0,0,1,10.18518543,0,0.02387800068,46.93000031
m256,11.37003899,0,0,1,23.93026924,0,0.08996000141,61.74000168
m257,0,0,0,0,0,0,0.02662999928,82.18000031
m258,5.284410954,0,0,,78.34430695,1,0.06012199819,27.61000061
m259,0,0,0,1,44.3549614,0,0.1543799937,50.11999893
m260,11.37003899,0,0,1,58.56716156,0,0.3982580006,39.22000122
m261,0,0,0,1,22.42671013,0,0.1578060091,54.88999939
m262,6.176483154,0,0,0,25.64411736,0,0.1471900046,41.50999832
m263,0,0,0,,36.58898163,1,0.1368300021,60.22000122
m264,0,0,0,,32.03214645,0,0.0293719992,41.70999908
m265,6.694162846,0,0,1,12.63541698,0,0.1349740028,49.18999863
m266,6.176483154,0,0,0,72.68994141,0,0.04978600144,46.06999969
m267,0,0,0,0,89.67585754,1,0.1429280043,30.86000061
m268,0,0,0,0,1.5625,0,0.01979599893,30.71999931
m269,6.694162846,0,0,1,28.19781876,1,0.05996000022,44.83000183
m270,6.258846283,0,0,1,75.72502136,1,0.07613199949,33.52999878
m271,0,0,0,1,0.8365018964,0,0.07031200081,52.08000183
m272,0,0,0,1,50.69565201,0,0.0447300002,31.44000053
m273,11.37003899,0,0,1,13.48739529,1,0.1391080022,47.31000137
m274,0,0,0,1,64.36204529,0,0.07737199962,42.45999908
m275,6.06184721,0,1,1,41.08631134,1,0.04799799994,32.72999954
m276,0,0,0,0,10.12610912,0,0.1278879941,17.07999992
m277,0,0,0,1,14.06953049,1,0.03999000043,35.81000137
m278,0.6069588065,0,0,1,13.98496342,0,0.03514000028,60.40000153
m279,0,0,0,,4.220779419,0,0.02074800059,46.13999939
m280,0,0,0,0,35.09008789,0,0.08379200101,50.79999924
m281,33.20091629,0,0,1,5.700977802,1,0.2094060034,40.70999908
m282,0,0,0,0,68.60598755,0,0.1699720025,72.34999847
m283,5.284410954,0,0,0,63.70326233,1,0.08346600085,29.13999939
m284,3.235055685,0,0,1,57.75992203,1,1.519037962,11.43000031
m285,0,0,0,1,38.42105103,0,0.06209199876,36.90000153
m286,6.176483154,0,0,1,32.30944443,0,0.0279779993,46.29999924
m287,0,0,0,1,44.87939453,0,0.110089995,37.93999863
m288,6.176483154,0,0,0,41.33411407,0,0.06771399826,46.25999832
m289,33.20091629,0,0,1,2.4842484,0,0.05196800083,55.95000076
m290,6.176483154,0,0,1,77.2747879,0,0.06909199804,35.29999924
m291,2.363991737,0,0,1,70.20820618,0,0.04601199925,57.70000076
m292,0,0,0,0,42.90209579,0,0.07434800267,39.49000168
m293,0.2163213044,0,0,1,22.37859154,1,0.05091999844,28.22999954
m294,0,0,0,0,65.81403351,0,0.09932800382,45.90000153
m295,0,0,0,0,10.28724098,0,0.1030900031,16.13999939
m296,6.176483154,0,0,1,32.22390366,0,0.02538199909,48.02999878
m297,33.20091629,0,0,1,79.01796722,0,0.04269000143,63.13999939
m298,0,0,0,1,29.47444344,0,0.1238919944,44.45000076
m299,0,0,0,1,46.21621704,0,0.05316600204,44
m300,0,0,0,1,6.019711971,0,0.03478400037,29.45000076
m301,0.2669297755,0,0,0,28.82051086,1,0.05855600163,60.63999939
m302,0,0,0,1,78.13130951,0,0.01183199976,24.63999939
m303,0,0,0,1,78.2962265,0,0.1193379983,32.04000092
m304,33.20091629,0,0,1,53.98615646,0,0.07914800197,32.16999817
m305,0,0,0,1,1.111111164,0,0.02467400022,46.68000031
m306,0,0,0,1,3.252444744,0,0.09717399627,47.36000061
m307,33.36410904,0,0,,60.80683899,0,0.1219379976,28.45000076
m308,0,0,0,1,33.86554337,0,0.03618000075,38.02000046
m309,7.752477169,0,0,0,19.27007294,0,0.05649200082,38.08000183
m310,32.46854019,1,0,,18.44215775,0,3.778120041,9.970000267
m311,0.3939986229,0,0,0,90.65880585,1,0.5521559715,23.20999908
m312,33.98270798,0,0,1,36.28797531,0,0.4620780051,19.07999992
m313,0,0,0,1,16.65018272,0,0.1821060032,20.30999947
m314,0,0,0,,41.15529633,1,0.1528979987,28.78000069
m315,18.33322906,0,0,1,27.36663246,0,0.8104419708,18.89999962
m316,0,0,0,,88.49287415,1,0.164154008,26.55999947
m317,55.47415161,0,0,1,43.15419006,0,0.840726018,25.06999969
m318,0,0,0,0,82.03658295,0,0.1254040003,25.78000069
m319,0.3939986229,0,0,1,7.225420952,0,0.3716059923,27.37999916
m320,33.98270798,0,1,,54.50643921,0,0.091835998,35.99000168
m321,0,0,0,1,7.349794388,0,0.163854003,26.89999962
m322,0,0,0,0,44.53488159,0,0.04023399949,21.43000031
m323,0,0,0,1,38.53032303,0,0.2624999881,22.53000069
m324,0,0,0,,85.15222931,0,0.01380600035,36.65999985
m325,0.7879972458,0,0,0,45.79063797,1,0.2058099955,24.87999916
m326,0,0,0,0,58.20611572,0,0.2677679956,25.85000038
m327,0.3939986229,0,0,1,4.278039932,0,0.2627240121,23.60000038
m328,0,0,0,1,57.11985397,0,0.5060459971,23.77000046
m329,10.11142921,0,0,0,81.43418121,0,0.2020699978,24.61000061
m330,0.3939986229,0,0,0,94.08369446,1,0.2740579844,18.37999916
m331,0,0,0,,22.72501945,0,0.405046016,32.93000031
m332,12.45082855,0,0,,50.72549057,0,0.01514399983,25.22999954
m333,33.98270798,0,0,1,73.34407806,0,0.2503260076,24.20999908
m334,0,0,0,1,70.5764389,0,0.1156180054,30.65999985
m335,8.195643425,0,1,0,64.52412415,0,0.4688540101,11.34000015
m336,12.45082855,0,0,1,10.49261093,0,0.177947998,22.21999931
m337,15.47677231,1,0,0,0.132953465,0,1.446884036,26.84000015
m338,0,0,0,0,,1,0.1230299994,35.02999878
m339,18.71222305,0,0,0,0.2729754448,0,0.1027740017,47.83000183
m340,0,0,0,,,1,0.2994520068,50.68000031
m341,0,0,0,1,0.773694396,1,0.1431960016,47.41999817
m342,18.71222305,0,0,0,0.06600660086,0,0.2235340029,41.16999817
m343,18.71222305,0,0,0,0.1117318422,1,0.1730719954,54.34000015
m344,18.71222305,0,0,0,0.1872659177,0,0.2619279921,64
m345,18.71222305,0,0,,,0,0.1848360002,60.34000015
m346,0.9928765297,0,1,0,,1,0.0519419983,40.27000046
m347,18.71222305,1,0,,0.182815358,0,0.3488439918,46.84999847
m348,18.71222305,0,0,1,,0,0.1503559947,49.65000153
m349,20.838871,1,0,0,0.5128205419,1,0.5109080076,53.79999924
m350,0,0,0,0,,0,0.1410939991,
m351,0.9928765297,0,1,,0.4618937671,0,0.09938199818,52.86999893
m352,0.9928765297,0,1,,,1,0.1865019947,46.93999863
m353,18.26700211,1,0,1,28.8939476,0,2.391851902,17.57999992
m354,0,0,0,0,6.871609211,0,0.2137620002,88.54000092
m355,0,0,0,1,59.38775635,0,0.2818480134,
m356,0,0,0,1,46.99481583,1,0.2608140111,62.04999924
m357,0,0,0,1,46.69634247,0,0.6549040079,66.91999817
m358,0,0,0,0,11.65861607,0,0.2028920054,57.86000061
m359,0,0,0,1,17.72709274,0,0.3382480145,63.40999985
m360,0,0,0,0,10.16822433,0,0.3408840001,69.76000214
m361,0,0,0,1,23.17253304,0,0.4239380062,38.04000092
m362,0,0,0,1,53.20885849,0,0.2697040141,52.91999817
m363,0,0,0,0,53.79524231,0,0.5147699714,52.02999878
m364,0,0,0,1,3.041666746,0,0.06130000204,46.63999939
m365,0,0,0,1,16.21439171,0,0.3088360131,86.51000214
m366,3.337416887,0,0,0,20.22877312,1,0.2603340149,68.40000153
m367,0,0,0,0,17.25738335,0,0.1471839994,73.02999878
m368,0,0,0,,58.84210587,1,0.128136009,56.90999985
m369,0,0,0,0,15.56381702,0,0.3176699877,70.62999725
m370,0,0,0,,9.544418335,0,0.2588340044,44.81000137
m371,0,0,0,1,51.03750229,0,0.1788100004,69.02999878
m372,0,0,0,1,18.18470001,0,0.2601400018,50.18999863
m373,0.2166992426,0,0,0,13.90070915,1,0.2982680202,62.22999954
m374,0,0,0,0,19.01127625,0,0.1105479971,22.20999908
m375,3.324134827,0,0,0,22.29893875,0,0.3491140008,64.23000336
m376,12.15356541,0,0,,23.99575806,0,0.3106180131,35.06999969
m377,12.15356541,0,0,1,39.33032608,1,0.3561680019,38.11999893
m378,12.15356541,0,0,,36.67115021,0,0.5496799946,18.04999924
m379,0,0,0,0,53.75576019,0,0.1912519932,51.33000183
m380,12.15356541,0,0,0,11.66191864,1,0.130272001,65.88999939
m381,49.84043503,0,0,0,11.68224335,0,0.0950819999,75
m382,12.15356541,1,0,0,21.24333763,0,0.8811399937,33.34000015
m383,0,0,0,,0,0,0.1296920031,77.37999725
m384,0,0,0,0,4.255411625,1,0.3880819976,50.25999832
m385,0,0,0,0,52.04724503,0,0.1481480002,56.90000153
m386,0,0,0,1,27.23476791,1,0.2446580082,59.54999924
m387,0,0,0,,15.3301897,0,0.01790999994,80.19000244
m388,12.15356541,0,0,1,15.19570541,0,0.2787919939,36.52000046
m389,0,0,0,1,15.76271248,0,0.3302920163,72.51000214
m390,0,0,0,0,17.4821167,1,0.3004959822,61.58000183
m391,3.337416887,0,0,0,20.48296738,0,0.1817319989,60.74000168
m392,12.15356541,0,0,,7.699114799,0,0.02865200117,30.37000084
m393,11.65366364,1,0,0,32.20061493,0,3.647867918,32.68999863
m394,49.84043503,1,0,0,10.75260258,0,0.8892220259,41.25
m395,0.9849965572,0,0,0,47.41267014,0,0.7471600175,51.70000076
m396,8.458362579,0,0,,3.422007322,0,0.2214599997,70.5
m397,7.276366234,0,0,0,3.896103859,0,0.1475680023,55.84999847
m398,74.50817108,0,0,0,3.891946077,0,0.2784340084,50.13000107
m399,7.276366234,0,0,0,16.08903694,1,0.4270299971,65.76999664
m400,0,0,0,,8.382255554,0,0.3032639921,52.74000168
m401,49.84043503,0,0,0,18.36399078,0,0.3751519918,46.22000122
m402,99.72026825,0,0,1,2.388518572,0,0.2631880045,50.99000168
m403,7.276366234,0,0,1,4.203821659,0,0.2521480024,61.65000153
m404,0,0,0,1,14.94518185,0,0.1223580018,50.52000046
m405,0,0,0,,0.4217431843,0,0.2155919969,64.48000336
m406,0,0,0,1,5.769669056,0,0.2141939998,54.77000046
m407,0,0,0,0,8.06703949,0,0.316652,55.81000137
m408,1.497982621,0,0,1,40.2802124,0,0.1161919981,55.29000092
m409,49.84043503,0,0,0,3.069727898,0,0.1591040045,50.68000031
m410,49.84043503,0,0,0,16.7310009,0,0.180723995,55.31000137
m411,0,0,0,,34.75,0,0.03445599973,83.94999695
m412,12.60001564,0,0,0,16.24742317,0,0.1648140103,49.65999985
m413,13.15164661,0,0,0,45.91145706,0,0.2482839972,50.40999985
m414,56.53459549,0,0,1,10.54662418,0,0.1799979955,33.59000015
